'id','visitor_id','shop_id','zone_id','timestamp','current_location'
83,90,4,3,'2024-09-02 09:34:18.383840','POINT (55.280019950254285 25.198394410151693)'
84,90,4,3,'2024-09-02 09:37:18.222224','POINT (55.28032635226779 25.19834901863012)'
85,90,11,4,'2024-09-02 09:40:18.060608','POINT (55.28026748362526 25.197286377785744)'
86,90,0,'','2024-09-02 09:43:17.898992','POINT (55.27886956794384 25.198038203364746)'
87,90,4,3,'2024-09-02 09:46:17.737376','POINT (55.279850317643835 25.19829088180285)'
88,90,10,2,'2024-09-02 09:49:17.575760','POINT (55.278260068407505 25.19801488362654)'
89,90,11,4,'2024-09-02 09:52:17.414144','POINT (55.27946728969711 25.19736274111864)'
90,90,1,6,'2024-09-02 09:55:17.252528','POINT (55.27923113497878 25.19768207893248)'
91,90,3,1,'2024-09-02 09:58:17.090912','POINT (55.27924842305438 25.198804620349936)'
92,90,11,4,'2024-09-02 10:01:16.929296','POINT (55.27971659110423 25.197375948660223)'
93,90,2,1,'2024-09-02 10:04:16.767680','POINT (55.27873005870609 25.199111226995335)'
94,90,10,2,'2024-09-02 10:07:16.606064','POINT (55.27866440200227 25.19811434867144)'
95,90,0,'','2024-09-02 10:10:16.444448','POINT (55.27903290451483 25.19821861302075)'
96,90,10,2,'2024-09-02 10:13:16.282832','POINT (55.27874904649041 25.198162139922033)'
97,90,1,6,'2024-09-02 10:16:16.121216','POINT (55.27928815076538 25.19774299826088)'
98,90,7,2,'2024-09-02 10:19:15.959600','POINT (55.278925321658804 25.19820578732593)'
99,90,3,1,'2024-09-02 10:22:15.797984','POINT (55.279222821553724 25.19896675522666)'
100,90,9,4,'2024-09-02 10:25:15.636368','POINT (55.28042019137646 25.197531594283706)'
101,90,0,'','2024-09-02 10:28:15.474752','POINT (55.27899787435142 25.19771396743581)'
102,90,3,1,'2024-09-02 10:31:15.313136','POINT (55.279126181516645 25.19875071952396)'
103,90,10,2,'2024-09-02 10:34:15.151520','POINT (55.27864126157129 25.198014105494735)'
104,90,9,4,'2024-09-02 10:37:14.989904','POINT (55.280179468295586 25.19753132482904)'
105,90,10,2,'2024-09-02 10:40:14.828288','POINT (55.278341466463544 25.198094064037427)'
106,90,0,'','2024-09-02 10:43:14.666672','POINT (55.27958157293465 25.198577213896456)'
107,90,5,3,'2024-09-02 10:46:14.505056','POINT (55.280399991868464 25.197931672947945)'
108,90,0,'','2024-09-02 10:49:14.343440','POINT (55.279501009488264 25.198524785035197)'
109,90,0,'','2024-09-02 10:52:14.181824','POINT (55.279581949700066 25.19854686980073)'
110,90,11,4,'2024-09-02 10:55:14.020208','POINT (55.279820127310906 25.19744683316917)'
111,90,1,6,'2024-09-02 10:58:13.858592','POINT (55.2793456143449 25.19806090351228)'
112,90,3,1,'2024-09-02 11:01:13.696976','POINT (55.279278096547095 25.19885416505779)'
113,90,0,'','2024-09-02 11:04:13.535360','POINT (55.280534191888236 25.197606453377375)'
114,90,10,2,'2024-09-02 11:07:13.373744','POINT (55.278036939184474 25.198207930611183)'
115,90,0,'','2024-09-02 11:10:13.212128','POINT (55.2795600388575 25.19811078169436)'
116,90,6,2,'2024-09-02 11:13:13.050512','POINT (55.27861481191736 25.19851015027658)'
117,90,0,'','2024-09-02 11:16:12.888896','POINT (55.27889564058278 25.19792134918328)'
118,90,1,6,'2024-09-02 11:19:12.727280','POINT (55.279224049572 25.19789675075517)'
119,90,0,'','2024-09-02 11:22:12.565664','POINT (55.27939210562088 25.19861611263169)'
120,90,0,'','2024-09-02 11:25:12.404048','POINT (55.27950055892673 25.197858139640804)'
121,90,11,4,'2024-09-02 11:28:12.242432','POINT (55.279719523767824 25.19733053037748)'
122,90,11,4,'2024-09-02 11:31:12.080816','POINT (55.27969752347248 25.197558879152055)'
123,34,0,'','2024-10-28 18:27:42.000000','POINT (55.278332599999985 25.19883599999999)'
124,34,0,'','2024-10-28 18:30:42.172786','POINT (55.27898597866236 25.198572708487916)'
125,34,0,'','2024-10-28 18:33:42.345572','POINT (55.27890223802021 25.198550066844803)'
126,34,0,'','2024-10-28 18:36:42.518358','POINT (55.27953753324927 25.197907770919993)'
127,34,8,4,'2024-10-28 18:39:42.691144','POINT (55.27998023793878 25.197743719375165)'
128,34,1,6,'2024-10-28 18:42:42.863930','POINT (55.279018607508206 25.197969067498953)'
129,34,0,'','2024-10-28 18:45:43.036716','POINT (55.27937127275765 25.198643190853723)'
130,34,11,4,'2024-10-28 18:48:43.209502','POINT (55.279842545215104 25.197245588898284)'
131,34,0,'','2024-10-28 18:51:43.382288','POINT (55.2803825949766 25.19780249058407)'
132,34,5,3,'2024-10-28 18:54:43.555074','POINT (55.28049231368331 25.197845065064776)'
133,34,7,2,'2024-10-28 18:57:43.727860','POINT (55.27876317909646 25.19839611889962)'
134,34,1,6,'2024-10-28 19:00:43.900646','POINT (55.27921925501412 25.19800961503316)'
135,34,0,'','2024-10-28 19:03:44.073432','POINT (55.280021062120895 25.198054188367255)'
136,34,9,4,'2024-10-28 19:06:44.246218','POINT (55.28017272792327 25.19768413664836)'
137,34,0,'','2024-10-28 19:09:44.419004','POINT (55.27895925445145 25.19817957079184)'
138,34,0,'','2024-10-28 19:12:44.591790','POINT (55.278728062602625 25.197839554788665)'
139,34,0,'','2024-10-28 19:15:44.764576','POINT (55.279109206323106 25.19825491692119)'
140,34,0,'','2024-10-28 19:18:44.937362','POINT (55.279406516994015 25.198740470396714)'
141,34,10,2,'2024-10-28 19:21:45.110148','POINT (55.27826302684126 25.198446509258478)'
142,34,0,'','2024-10-28 19:24:45.282934','POINT (55.278669208507225 25.19859837987193)'
143,34,0,'','2024-10-28 19:27:45.455720','POINT (55.27943613510295 25.198761764196423)'
144,34,0,'','2024-10-28 19:30:45.628506','POINT (55.28028911801178 25.197738982322974)'
145,34,0,'','2024-10-28 19:33:45.801292','POINT (55.279346095928055 25.198717120033386)'
146,34,1,6,'2024-10-28 19:36:45.974078','POINT (55.27926998264865 25.198154521030457)'
147,34,0,'','2024-10-28 19:39:46.146864','POINT (55.27987733261858 25.198016815767794)'
148,34,0,'','2024-10-28 19:42:46.319650','POINT (55.27955908100179 25.198043571469025)'
149,34,0,'','2024-10-28 19:45:46.492436','POINT (55.27918285566354 25.198362411995603)'
150,34,10,2,'2024-10-28 19:48:46.665222','POINT (55.27822126352962 25.198195241022127)'
151,34,0,'','2024-10-28 19:51:46.838008','POINT (55.279396814270015 25.197612620349314)'
152,34,5,3,'2024-10-28 19:54:47.010794','POINT (55.280365467991324 25.19797868525859)'
153,34,10,2,'2024-10-28 19:57:47.183580','POINT (55.278870171720705 25.198106323272196)'
154,34,11,4,'2024-10-28 20:00:47.356366','POINT (55.27966123914827 25.197594935837007)'
155,34,10,2,'2024-10-28 20:03:47.529152','POINT (55.27862095420087 25.197788924516008)'
156,34,11,4,'2024-10-28 20:06:47.701938','POINT (55.279674909715325 25.197408705132787)'
157,34,2,1,'2024-10-28 20:09:47.874724','POINT (55.278920796272075 25.199052893266764)'
158,34,0,'','2024-10-28 20:12:48.047510','POINT (55.27934288287879 25.19748677129283)'
159,34,11,4,'2024-10-28 20:15:48.220296','POINT (55.28017900728154 25.19714729620553)'
160,34,0,'','2024-10-28 20:18:48.393082','POINT (55.27971760899854 25.1982916364028)'
161,34,0,'','2024-10-28 20:21:48.565868','POINT (55.279394830997624 25.198821174593803)'
162,34,11,4,'2024-10-28 20:24:48.738654','POINT (55.279653190276456 25.197686804131123)'
163,34,6,2,'2024-10-28 20:27:48.911440','POINT (55.27865263964003 25.198400852670613)'
164,34,10,2,'2024-10-28 20:30:49.084226','POINT (55.27817460565519 25.198222567160766)'
165,34,0,'','2024-10-28 20:33:49.257012','POINT (55.27893821987375 25.198152115508762)'
166,34,0,'','2024-10-28 20:36:49.429798','POINT (55.28020186314974 25.198002037625198)'
167,34,11,4,'2024-10-28 20:39:49.602584','POINT (55.279942124303055 25.197104519571155)'
168,34,1,6,'2024-10-28 20:42:49.775370','POINT (55.27901180562766 25.19777077021106)'
169,50,0,'','2024-07-11 13:34:55.000000','POINT (55.27968500000001 25.198719199999996)'
170,50,1,6,'2024-07-11 13:37:55.132075','POINT (55.27910402033098 25.197968960145364)'
171,50,1,6,'2024-07-11 13:40:55.264150','POINT (55.279327997764504 25.19804416453242)'
172,50,0,'','2024-07-11 13:43:55.396225','POINT (55.279259966899474 25.197640943579085)'
173,50,1,6,'2024-07-11 13:46:55.528300','POINT (55.27900906118609 25.19787241609353)'
174,50,6,2,'2024-07-11 13:49:55.660375','POINT (55.27824522460364 25.198664881536768)'
175,50,8,4,'2024-07-11 13:52:55.792450','POINT (55.279893521786725 25.197836179212764)'
176,50,1,6,'2024-07-11 13:55:55.924525','POINT (55.27917609367303 25.19771148391643)'
177,50,1,6,'2024-07-11 13:58:56.056600','POINT (55.279297765467724 25.197993483357518)'
178,50,7,2,'2024-07-11 14:01:56.188675','POINT (55.27882941853176 25.198287806693596)'
179,50,0,'','2024-07-11 14:04:56.320750','POINT (55.27855776093856 25.198678446025674)'
180,50,11,4,'2024-07-11 14:07:56.452825','POINT (55.27972730416965 25.197257880457254)'
181,50,0,'','2024-07-11 14:10:56.584900','POINT (55.280023260039954 25.198008404852203)'
182,50,0,'','2024-07-11 14:13:56.716975','POINT (55.27833377748407 25.19880015406772)'
183,50,0,'','2024-07-11 14:16:56.849050','POINT (55.279115754047716 25.198216164143968)'
184,50,0,'','2024-07-11 14:19:56.981125','POINT (55.27964561213172 25.198540284352184)'
185,50,10,2,'2024-07-11 14:22:57.113200','POINT (55.278261170219075 25.19809613677154)'
186,50,6,2,'2024-07-11 14:25:57.245275','POINT (55.27854606008176 25.198537666313772)'
187,50,11,4,'2024-07-11 14:28:57.377350','POINT (55.28025909810589 25.197181143398407)'
188,50,11,4,'2024-07-11 14:31:57.509425','POINT (55.27986093429675 25.19738625558236)'
189,50,2,1,'2024-07-11 14:34:57.641500','POINT (55.27886587220865 25.198978833097815)'
190,50,5,3,'2024-07-11 14:37:57.773575','POINT (55.28037072810705 25.19828728541257)'
191,50,0,'','2024-07-11 14:40:57.905650','POINT (55.280317531263314 25.197395099348768)'
192,50,11,4,'2024-07-11 14:43:58.037725','POINT (55.2796381173134 25.197305809372462)'
193,50,1,6,'2024-07-11 14:46:58.169800','POINT (55.27929950713333 25.197858928389554)'
194,50,0,'','2024-07-11 14:49:58.301875','POINT (55.27889304259418 25.197731924298143)'
195,50,0,'','2024-07-11 14:52:58.433950','POINT (55.279052154636354 25.197590462841962)'
196,50,10,2,'2024-07-11 14:55:58.566025','POINT (55.278162436001985 25.198361863618636)'
197,50,8,4,'2024-07-11 14:58:58.698100','POINT (55.27978442078323 25.197879386368264)'
198,50,0,'','2024-07-11 15:01:58.830175','POINT (55.27910024998894 25.19834506238184)'
199,50,11,4,'2024-07-11 15:04:58.962250','POINT (55.28003397535636 25.19736181008379)'
200,50,3,1,'2024-07-11 15:07:59.094325','POINT (55.27932289528203 25.198753545930238)'
201,50,5,3,'2024-07-11 15:10:59.226400','POINT (55.28052478605447 25.197860762404854)'
202,50,4,3,'2024-07-11 15:13:59.358475','POINT (55.28008829932765 25.198158598034464)'
203,50,6,2,'2024-07-11 15:16:59.490550','POINT (55.278548006693875 25.198424864047627)'
204,50,2,1,'2024-07-11 15:19:59.622625','POINT (55.27856010269944 25.199033084805535)'
205,50,0,'','2024-07-11 15:22:59.754700','POINT (55.278338798460894 25.19878845608654)'
206,50,5,3,'2024-07-11 15:25:59.886775','POINT (55.28042711616927 25.197822872596223)'
207,50,0,'','2024-07-11 15:29:00.018850','POINT (55.27947275835641 25.198594935286007)'
208,50,7,2,'2024-07-11 15:32:00.150925','POINT (55.278929270833125 25.19828736443667)'
209,50,10,2,'2024-07-11 15:35:00.283000','POINT (55.27810151851044 25.198433342674235)'
210,50,4,3,'2024-07-11 15:38:00.415075','POINT (55.279976140119565 25.198413939325945)'
211,50,1,6,'2024-07-11 15:41:00.547150','POINT (55.27925831948611 25.198029048597313)'
212,50,3,1,'2024-07-11 15:44:00.679225','POINT (55.279047983959934 25.198817727219662)'
213,50,0,'','2024-07-11 15:47:00.811300','POINT (55.27958367085473 25.1978483205336)'
214,50,11,4,'2024-07-11 15:50:00.943375','POINT (55.280116643846675 25.197119973635)'
215,50,0,'','2024-07-11 15:53:01.075450','POINT (55.27932277183421 25.197504462358715)'
216,50,10,2,'2024-07-11 15:56:01.207525','POINT (55.278540582621275 25.198143761616095)'
217,50,0,'','2024-07-11 15:59:01.339600','POINT (55.27971424167707 25.198489562394446)'
218,50,10,2,'2024-07-11 16:02:01.471675','POINT (55.27877695550332 25.198198706595296)'
219,50,4,3,'2024-07-11 16:05:01.603750','POINT (55.27983789084735 25.198153277473082)'
220,50,10,2,'2024-07-11 16:08:01.735825','POINT (55.27843448347962 25.198103121221454)'
221,50,0,'','2024-07-11 16:11:01.867900','POINT (55.27968500000001 25.198719199999996)'
222,55,0,'','2024-06-29 14:38:38.000000','POINT (55.278332599999985 25.19883599999999)'
223,55,0,'','2024-06-29 14:41:37.983333','POINT (55.27967579860827 25.198507889291832)'
224,55,0,'','2024-06-29 14:44:37.966666','POINT (55.27966444766328 25.198406425812273)'
225,55,1,6,'2024-06-29 14:47:37.949999','POINT (55.279389331029144 25.198047068433784)'
226,55,6,2,'2024-06-29 14:50:37.933332','POINT (55.27850244224294 25.198445820053767)'
227,55,0,'','2024-06-29 14:53:37.916665','POINT (55.28004945269941 25.198513262229962)'
228,55,1,6,'2024-06-29 14:56:37.899998','POINT (55.27899195941448 25.19794849613687)'
229,55,0,'','2024-06-29 14:59:37.883331','POINT (55.279512932259 25.19804954047312)'
230,55,4,3,'2024-06-29 15:02:37.866664','POINT (55.28024517302618 25.198201277647428)'
231,55,0,'','2024-06-29 15:05:37.849997','POINT (55.27910124491853 25.198151870030472)'
232,55,0,'','2024-06-29 15:08:37.833330','POINT (55.279534731961725 25.198041956505932)'
233,55,4,3,'2024-06-29 15:11:37.816663','POINT (55.279908817321335 25.198351010632813)'
234,55,4,3,'2024-06-29 15:14:37.799996','POINT (55.2802909692187 25.198348933165835)'
235,55,3,1,'2024-06-29 15:17:37.783329','POINT (55.27908091374026 25.198880931959607)'
236,55,0,'','2024-06-29 15:20:37.766662','POINT (55.28028846252511 25.19777227606974)'
237,55,11,4,'2024-06-29 15:23:37.749995','POINT (55.28014175410288 25.197486946699712)'
238,55,2,1,'2024-06-29 15:26:37.733328','POINT (55.27879330245698 25.199004007070414)'
239,55,0,'','2024-06-29 15:29:37.716661','POINT (55.27899546973129 25.19821306924659)'
240,55,2,1,'2024-06-29 15:32:37.699994','POINT (55.27904735678573 25.19907674836936)'
241,55,0,'','2024-06-29 15:35:37.683327','POINT (55.27982516637452 25.197935959066356)'
242,55,11,4,'2024-06-29 15:38:37.666660','POINT (55.279930107746274 25.197241737038055)'
243,55,2,1,'2024-06-29 15:41:37.649993','POINT (55.27862316631053 25.199140550062985)'
244,55,0,'','2024-06-29 15:44:37.633326','POINT (55.27955958921254 25.198772442106822)'
245,55,9,4,'2024-06-29 15:47:37.616659','POINT (55.2802060932998 25.19749845820843)'
246,55,0,'','2024-06-29 15:50:37.599992','POINT (55.28014938214704 25.197486812593834)'
247,55,0,'','2024-06-29 15:53:37.583325','POINT (55.27927305684427 25.19839886070478)'
248,55,2,1,'2024-06-29 15:56:37.566658','POINT (55.27875022205729 25.199058095224093)'
249,55,0,'','2024-06-29 15:59:37.549991','POINT (55.278943056175805 25.19800147717521)'
250,55,0,'','2024-06-29 16:02:37.533324','POINT (55.27997322380639 25.19796006844817)'
251,55,9,4,'2024-06-29 16:05:37.516657','POINT (55.28015745133226 25.1975440937739)'
252,55,2,1,'2024-06-29 16:08:37.499990','POINT (55.27879922943348 25.198729417127115)'
253,55,0,'','2024-06-29 16:11:37.483323','POINT (55.28031745581883 25.197732542380237)'
254,55,3,1,'2024-06-29 16:14:37.466656','POINT (55.27895518683583 25.198634964399773)'
255,55,9,4,'2024-06-29 16:17:37.449989','POINT (55.28024398000617 25.19750826839287)'
256,55,0,'','2024-06-29 16:20:37.433322','POINT (55.27941768893581 25.198500434655262)'
257,55,0,'','2024-06-29 16:23:37.416655','POINT (55.28023017743033 25.197907997371413)'
258,55,0,'','2024-06-29 16:26:37.399988','POINT (55.27876504223528 25.197871329504164)'
259,55,5,3,'2024-06-29 16:29:37.383321','POINT (55.28034071240651 25.198268654015383)'
260,55,0,'','2024-06-29 16:32:37.366654','POINT (55.27935170489909 25.198534252140334)'
261,55,11,4,'2024-06-29 16:35:37.349987','POINT (55.280141594418616 25.197107115197234)'
262,55,1,6,'2024-06-29 16:38:37.333320','POINT (55.27945032859981 25.197942430608045)'
263,55,10,2,'2024-06-29 16:41:37.316653','POINT (55.27862986444381 25.19812349276567)'
264,55,8,4,'2024-06-29 16:44:37.299986','POINT (55.279739648672184 25.197943611003435)'
265,55,8,4,'2024-06-29 16:47:37.283319','POINT (55.27978047517525 25.19791407026725)'
266,55,3,1,'2024-06-29 16:50:37.266652','POINT (55.27934194617119 25.198913832770554)'
267,55,0,'','2024-06-29 16:53:37.249985','POINT (55.28020703845393 25.197859903552715)'
268,55,11,4,'2024-06-29 16:56:37.233318','POINT (55.280181378452276 25.19734024227504)'
269,55,0,'','2024-06-29 16:59:37.216651','POINT (55.27943686764116 25.19788754250777)'
270,55,8,4,'2024-06-29 17:02:37.199984','POINT (55.2798100547985 25.197786017117465)'
271,55,0,'','2024-06-29 17:05:37.183317','POINT (55.27917210715218 25.19837218360473)'
272,55,0,'','2024-06-29 17:08:37.166650','POINT (55.28014550619191 25.198028443026065)'
273,55,11,4,'2024-06-29 17:11:37.149983','POINT (55.2797374058058 25.197532278268287)'
274,55,10,2,'2024-06-29 17:14:37.133316','POINT (55.27859522919365 25.197904328197673)'
275,55,2,1,'2024-06-29 17:17:37.116649','POINT (55.27883334641007 25.199160475329442)'
276,55,0,'','2024-06-29 17:20:37.099982','POINT (55.28023541797362 25.197890404507756)'
277,55,11,4,'2024-06-29 17:23:37.083315','POINT (55.28000047087692 25.197365334441137)'
278,55,0,'','2024-06-29 17:26:37.066648','POINT (55.27940034258311 25.19767744822499)'
279,55,11,4,'2024-06-29 17:29:37.049981','POINT (55.27966704763373 25.197659362849368)'
280,55,10,2,'2024-06-29 17:32:37.033314','POINT (55.27825020345644 25.198181325560125)'
281,55,8,4,'2024-06-29 17:35:37.016647','POINT (55.279974577115524 25.197712216256203)'
282,55,2,1,'2024-06-29 17:38:36.999980','POINT (55.27888027987548 25.198741454940368)'
283,55,10,2,'2024-06-29 17:41:36.983313','POINT (55.27820486946266 25.198474270523835)'
284,55,0,'','2024-06-29 17:44:36.966646','POINT (55.27883941064017 25.197881923866056)'
285,55,4,3,'2024-06-29 17:47:36.949979','POINT (55.279815481565024 25.198403710143687)'
286,55,3,1,'2024-06-29 17:50:36.933312','POINT (55.27928583170213 25.198776956344265)'
287,55,0,'','2024-06-29 17:53:36.916645','POINT (55.27854239920799 25.198740443950065)'
288,55,10,2,'2024-06-29 17:56:36.899978','POINT (55.27807075080408 25.198232726405454)'
289,55,0,'','2024-06-29 17:59:36.883311','POINT (55.27963024809917 25.1980992745263)'
290,55,0,'','2024-06-29 18:02:36.866644','POINT (55.28009867757227 25.19800210718552)'
291,55,0,'','2024-06-29 18:05:36.849977','POINT (55.279546539967036 25.198225913277472)'
292,55,10,2,'2024-06-29 18:08:36.833310','POINT (55.27877751308535 25.198213951802938)'
293,55,2,1,'2024-06-29 18:11:36.816643','POINT (55.27884238381197 25.199021710700343)'
294,55,0,'','2024-06-29 18:14:36.799976','POINT (55.27947662114727 25.198108825695144)'
295,55,0,'','2024-06-29 18:17:36.783309','POINT (55.2793422467288 25.197664409186366)'
296,55,11,4,'2024-06-29 18:20:36.766642','POINT (55.27971663493181 25.19757852521884)'
297,55,3,1,'2024-06-29 18:23:36.749975','POINT (55.2791518677523 25.198895082582894)'
298,55,9,4,'2024-06-29 18:26:36.733308','POINT (55.28001617475921 25.19758167841891)'
299,55,11,4,'2024-06-29 18:29:36.716641','POINT (55.27936059333871 25.197488863731362)'
